anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.1000,0.1000,0.1000,0.2925,0.2925,0.2925,0.2475,0.2475,0.2475,0.5750,0.5750,0.5750
gemini-2.0-flash-lite,0.0456,0.3059,0.2465,0.0383,0.6242,0.3854,0.0831,0.3041,0.5785,0.0324,0.5897,0.6451
gemini-2.0-flash,0.1683,0.2508,0.2605,0.3482,0.6295,0.3719,0.1414,0.5184,0.5697,0.0098,0.5750,0.5917
gpt-4o-mini,0.0463,0.1103,0.1000,0.1948,0.3718,0.3408,0.0550,0.0709,0.2827,0.0265,0.0512,0.5750
gpt-4o,0.1109,0.1372,0.1211,0.3468,0.4316,0.5206,0.2305,0.3059,0.3970,0.3538,0.5720,0.5750
llama32-11B,0.0535,0.0609,0.0647,0.0504,0.0730,0.0860,0.0373,0.0519,0.0621,0.0347,0.0650,0.0675
llama32-90B,0.0553,0.0794,0.0830,0.0461,0.2441,0.2182,0.0564,0.1161,0.1384,0.0126,0.0622,0.1302
Ovis2-8B,0.0605,0.1358,0.1350,0.0372,0.4504,0.4488,0.0422,0.3521,0.3500,0.0680,0.5750,0.5750
Ovis2-34B,0.1000,0.1609,0.1780,0.3440,0.5099,0.5591,0.0667,0.2519,0.3782,0.5750,0.6287,0.6707
Qwen25VL-7B,0.1000,0.1000,0.1000,0.2925,0.2925,0.2925,0.2475,0.2475,0.2475,0.5750,0.5750,0.5750
Qwen25VL-72B,0.1000,0.1121,0.1313,0.3029,0.5760,0.6060,0.2694,0.4581,0.4490,0.5750,0.6050,0.6245
llavaov-7B,0.0387,0.0643,0.0658,0.0003,0.1355,0.1506,0.0466,0.0765,0.0797,0.0000,0.0139,0.0014
llavaov-72B,0.0125,0.1358,0.1677,0.0062,0.4840,0.2144,0.0407,0.0721,0.1345,0.0041,0.1454,0.1487
isolationForest,0.0684,0.0684,0.0684,0.0637,0.0637,0.0637,0.2511,0.2511,0.2511,0.1102,0.1102,0.1102
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
