anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
gemini-2.0-flash-lite,0.5000,0.9514,0.4889,0.5043,0.9829,0.5000,0.5000,0.5000,0.9646,0.5000,0.5382,0.6529
gemini-2.0-flash,0.9069,0.9250,0.6847,1.0000,1.0000,0.5000,0.5000,0.9192,0.9899,0.5000,0.5000,0.5265
gpt-4o-mini,0.5014,0.5889,0.5000,0.7053,0.9410,0.6590,0.4983,0.5337,0.8040,0.4971,0.5026,0.5000
gpt-4o,0.6583,0.6375,0.5347,0.9647,0.9982,0.9594,0.7629,0.8401,0.9535,0.4839,0.5162,0.5000
llama32-11B,0.5000,0.4972,0.5000,0.5000,0.4965,0.5000,0.5000,0.4884,0.4900,0.5000,0.5000,0.5000
llama32-90B,0.4972,0.5111,0.4931,0.4982,0.5128,0.4997,0.5000,0.4967,0.5339,0.5000,0.5000,0.4903
Ovis2-8B,0.5000,0.6389,0.6417,0.5000,1.0000,0.9965,0.5000,0.9983,0.9967,0.5000,0.5000,0.5000
Ovis2-34B,0.5000,0.6736,0.7111,0.9576,1.0000,1.0000,0.5000,0.7424,1.0000,0.5000,0.6294,0.6824
Qwen25VL-7B,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
Qwen25VL-72B,0.5000,0.5264,0.6042,0.5742,0.9982,1.0000,0.7907,0.9933,0.9444,0.5000,0.5471,0.5735
llavaov-7B,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
llavaov-72B,0.5000,0.5778,0.6486,0.5000,0.9912,0.4965,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
isolationForest,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
