anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash-lite,1.0000,0.9663,0.9816,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1449,0.0607
gemini-2.0-flash,0.9294,0.9509,0.9755,0.9660,0.9969,0.9938,1.0000,1.0000,1.0000,0.9159,0.0280,0.0935
gpt-4o-mini,0.9387,0.8528,0.0031,0.9907,0.9228,0.0154,1.0000,1.0000,0.0569,1.0000,1.0000,0.0047
gpt-4o,0.5307,0.5153,0.2822,0.9290,0.9691,0.7407,0.9933,0.9799,0.0301,0.0654,0.0000,0.0000
llama32-11B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
llama32-90B,1.0000,0.9939,1.0000,1.0000,0.9938,1.0000,1.0000,0.9699,1.0000,1.0000,0.9813,1.0000
Ovis2-8B,1.0000,0.5521,0.5798,1.0000,0.9969,0.9969,1.0000,1.0000,1.0000,1.0000,0.4346,0.0000
Ovis2-34B,0.4877,0.8282,0.9417,0.8920,1.0000,1.0000,1.0000,1.0000,1.0000,0.5327,0.1449,0.3505
Qwen25VL-7B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,0.0000,0.0134,0.0368,0.0000,0.0000,0.0000
Qwen25VL-72B,0.0031,0.8681,0.9172,0.8179,0.9938,0.9969,0.9933,1.0000,1.0000,0.2570,0.9299,0.9393
llavaov-7B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
llavaov-72B,1.0000,1.0000,0.9632,1.0000,1.0000,0.9969,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
isolationForest,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
